"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         134,      -7.112683218,      -6.453914438,      -7.186995744,      -7.233515762,      -6.499868799,      -9.551341533
          0,           0,         135,      -7.119722068,      -6.457358655,      -7.197722801,      -7.244590299,      -6.506758253,      -9.550905926
          0,           0,         136,      -7.126049386,      -6.460673159,      -7.208423866,       -7.25569307,      -6.512915892,      -9.550474266
          0,           0,         137,      -7.131622989,      -6.463864666,      -7.219038458,      -7.266749209,      -6.518321279,      -9.550044619
          0,           0,         138,      -7.136468149,      -6.466943343,      -7.229523915,      -7.277706844,      -6.523027037,      -9.549615498
          0,           0,         139,      -7.140611181,      -6.469921875,      -7.239854295,      -7.288524349,       -6.52708188,      -9.549186939
          0,           0,         140,      -7.144093023,       -6.47281511,      -7.250021683,      -7.299194386,      -6.530544329,      -9.548759076
          0,           0,         141,      -7.146998043,      -6.475639787,      -7.260034264,      -7.309744597,      -6.533508447,      -9.548329565
          0,           0,         142,      -7.149423601,       -6.47841417,      -7.269909367,      -7.320216307,      -6.536070788,      -9.547897584
          0,           0,         143,      -7.151487768,      -6.481157498,      -7.279668593,      -7.330658015,      -6.538339078,      -9.547461731
          0,           0,         144,      -7.153320403,      -6.483888873,      -7.289331605,      -7.341114619,      -6.540425425,      -9.547021886
          0,           0,         145,      -7.155057335,      -6.486626374,      -7.298911809,      -7.351619866,       -6.54244393,       -9.54657913
          0,           0,         146,      -7.156829084,      -6.489385922,      -7.308412226,       -7.36219011,      -6.544502294,      -9.546135293
          0,           0,         147,      -7.158752644,      -6.492180319,      -7.317824597,      -7.372821257,      -6.546696346,      -9.545692498
          0,           0,         148,      -7.160926969,      -6.495018814,      -7.327131362,      -7.383489087,      -6.549107731,      -9.545253914
          0,           0,         149,       -7.16343048,      -6.497906996,      -7.336308998,      -7.394152671,      -6.551802926,      -9.544822497
          0,           0,         150,      -7.166319073,      -6.500846847,      -7.345332391,      -7.404762262,       -6.55483179,      -9.544400695
          0,           0,         151,       -7.16962528,      -6.503836699,      -7.354180226,      -7.415268476,      -6.558226823,      -9.543989437
          0,           0,         152,      -7.173358528,      -6.506872027,      -7.362839648,      -7.425631128,      -6.562002654,      -9.543590465
          0,           0,         153,      -7.177504891,      -6.509945538,      -7.371309601,      -7.435826734,      -6.566154499,      -9.543205605
          0,           0,         154,      -7.182030169,       -6.51304715,       -7.37960201,      -7.445854704,      -6.570659422,      -9.542835826
          0,           0,         155,      -7.186882483,      -6.516165327,      -7.387741318,      -7.455738196,      -6.575477323,      -9.542482157
          0,           0,         156,      -7.191995687,      -6.519287312,      -7.395761847,      -7.465521293,      -6.580552776,      -9.542145234
          0,           0,         157,      -7.197292163,      -6.522399692,      -7.403703839,      -7.475262727,      -6.585816629,      -9.541825883
          0,           0,         158,      -7.202686349,      -6.525488796,      -7.411607372,      -7.485027378,      -6.591188828,      -9.541524565
          0,           0,         159,      -7.208089181,      -6.528541556,      -7.419508882,      -7.494878917,      -6.596582555,      -9.541241511
          0,           0,         160,      -7.213412003,      -6.531545459,      -7.427437009,      -7.504871883,      -6.601908415,      -9.540975361
          0,           0,         161,      -7.218570764,      -6.534489336,      -7.435409839,      -7.515045523,      -6.607079241,      -9.540725823
          0,           0,         162,      -7.223489666,       -6.53736348,      -7.443433475,      -7.525419754,      -6.612014723,      -9.540492303
          0,           0,         163,      -7.228104305,      -6.540160066,      -7.451502354,      -7.535994296,      -6.616645663,      -9.540273161
          0,           0,         164,      -7.232364263,      -6.542873489,      -7.459601004,       -7.54675037,      -6.620917587,      -9.540067239
          0,           0,         165,      -7.236234856,      -6.545500784,      -7.467706768,       -7.55765439,      -6.624793298,       -9.53987541
          0,           0,         166,      -7.239697059,      -6.548041015,      -7.475793092,      -7.568663036,      -6.628253256,      -9.539695232
          0,           0,         167,       -7.24274606,      -6.550495577,      -7.483832601,      -7.579729811,      -6.631294081,      -9.539524924
          0,           0,         168,      -7.245397241,      -6.552868017,      -7.491800502,      -7.590813159,      -6.633934587,       -9.53936291
