"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         116,      -4.062981916,      -3.280895645,      -3.289254024,      -2.017447858,      -10.17281301
          0,           0,         117,      -4.059717799,       -3.27742625,      -3.286773724,        -2.0142979,      -10.16664566
          0,           0,         118,      -4.056545764,      -3.273895911,      -3.284316877,       -2.01124239,       -10.1605882
          0,           0,         119,      -4.053460511,      -3.270309731,      -3.281878189,      -2.008275414,      -10.15461891
          0,           0,         120,      -4.050456049,      -3.266677854,      -3.279454891,      -2.005390142,      -10.14875935
          0,           0,         121,      -4.047525968,      -3.263015089,       -3.27704683,      -2.002579107,      -10.14298392
          0,           0,         122,      -4.044663722,      -3.259340248,      -3.274656483,      -1.999834532,       -10.1371236
          0,           0,         123,      -4.041862909,      -3.255675183,      -3.272288802,      -1.997148652,      -10.13131445
          0,           0,         124,      -4.039117506,      -3.252043611,      -3.269950953,      -1.994514025,      -10.12567806
          0,           0,         125,      -4.036422097,      -3.248469766,      -3.267651913,       -1.99192383,       -10.1201646
          0,           0,         126,      -4.033772017,      -3.244976995,      -3.265401964,      -1.989372106,      -10.11478614
          0,           0,         127,       -4.03116347,      -3.241586323,      -3.263212086,      -1.986853951,      -10.10952946
          0,           0,         128,      -4.028593573,      -3.238315116,      -3.261093284,      -1.984365656,      -10.10443981
          0,           0,         129,      -4.026060345,      -3.235175875,      -3.259055867,      -1.981904763,      -10.09943263
          0,           0,         130,      -4.023562638,      -3.232175253,      -3.257108715,      -1.979470056,      -10.09448042
          0,           0,         131,      -4.021100028,      -3.229313346,      -3.255258579,      -1.977061487,      -10.08963733
          0,           0,         132,      -4.018672661,      -3.226583308,       -3.25350942,      -1.974680029,       -10.0849034
          0,           0,         133,      -4.016281076,      -3.223971346,      -3.251861856,       -1.97232748,       -10.0802797
          0,           0,         134,      -4.013926019,      -3.221457107,      -3.250312728,      -1.970006224,      -10.07577154
          0,           0,         135,      -4.011608248,      -3.219014484,      -3.248854829,       -1.96771897,      -10.07139502
          0,           0,         136,      -4.009328358,       -3.21661284,      -3.247476835,      -1.965468473,      -10.06713568
          0,           0,         137,       -4.00708662,      -3.214218593,      -3.246163446,       -1.96325727,      -10.06292808
          0,           0,         138,      -4.004882856,      -3.211797126,      -3.244895769,      -1.961087422,      -10.05876944
          0,           0,         139,      -4.002716346,      -3.209314876,      -3.243651936,      -1.958960307,      -10.05464374
          0,           0,         140,      -4.000585773,      -3.206741508,      -3.242407961,      -1.956876446,      -10.05058797
          0,           0,         141,      -3.998489201,      -3.204051979,      -3.241138798,      -1.954835385,      -10.04661644
          0,           0,         142,      -3.996424098,      -3.201228325,      -3.239819561,      -1.952835629,      -10.04269777
          0,           0,         143,      -3.994387382,      -3.198261019,      -3.238426825,       -1.95087465,      -10.03882398
