Point ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,Y_Plus
48,0.859974,0,2.48575,-0,6.07626e-08,0,0,0,0,0,0,1.08648,1.07667,0.00281508,1.52959,0.994299,-0.0495867,-5.78876e-05,0.000548439,2.74056e-05,0.000552167,1.13453,0,0,0,0,6.09017
49,0.861203,0,2.48834,-0,6.0745e-08,0,0,0,0,0,0,1.09379,1.07667,0.00185834,1.5348,0.995334,-0.0475158,-2.43988e-05,0.000528368,2.27115e-05,0.000529419,1.1341,0,0,0,0,5.96717
50,0.871061,0,2.51475,-0,6.07073e-08,0,0,0,0,0,0,1.10079,1.07667,0.000927906,1.53979,1.0059,-0.0263864,9.20453e-05,0.000458114,4.87146e-06,0.000467295,1.13316,0,0,0,0,5.65276
51,0.881056,0,2.53958,-0,6.06351e-08,0,0,0,0,0,0,1.10761,1.07667,0,1.54467,1.01583,-0.00651891,1.24755e-05,4.45555e-05,-0.000545568,0.000547527,1.13137,0,0,0,0,6.13006
52,0.883451,0,2.54416,-0,6.05933e-08,0,0,0,0,0,0,1.09379,1.07667,-0.00185834,1.5348,1.01766,-0.00285894,0.000946808,0.000203309,0.000117336,0.000975473,1.13034,0,0,0,0,8.22432
53,0.879076,0,2.53172,-0,6.05962e-08,0,0,0,0,0,0,1.08648,1.07667,-0.00281508,1.52959,1.01269,-0.0128093,0.000937475,0.000188311,0.000114781,0.000963066,1.13041,0,0,0,0,8.15435
54,0.874385,0,2.51804,-0,6.05932e-08,0,0,0,0,0,0,1.0787,1.07667,-0.00381622,1.52408,1.00722,-0.0237514,0.000949093,0.000178552,0.000114704,0.00097253,1.13033,0,0,0,0,8.18132
55,0.869569,0,2.50393,-0,6.05888e-08,0,0,0,0,0,0,1.07037,1.07667,-0.00486925,1.5182,1.00157,-0.0350378,0.000966824,0.000170261,0.000114545,0.000988361,1.13023,0,0,0,0,8.246
56,0.864822,0,2.48999,-0,6.05838e-08,0,0,0,0,0,0,1.0614,1.07667,-0.00597182,1.5119,0.995995,-0.046195,0.000986071,0.000162488,0.000113529,0.0010058,1.1301,0,0,0,0,8.32236
57,0.860253,0,2.47655,-0,6.05786e-08,0,0,0,0,0,0,1.05173,1.07667,-0.00711873,1.50513,0.990622,-0.0569414,0.00100508,0.000155475,0.000111642,0.00102314,1.12997,0,0,0,0,8.39823
