Point ID,Density,Energy,Grid_Velocity_0,Grid_Velocity_1,Grid_Velocity_2,Grid_Velocity_Magnitude,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
22,1.14888,233180,0,-168.337,3.78143,168.379,0.111764,33.8882,26.0638,6.265,43.2086,-0.0135559,0.014444,0.643,0.643305,92947.1,-0.153576,281.832,29.4976,22.6862,5.45423,37.6102
23,1.16316,237355,0,-168.337,8.19761,168.536,0.113266,40.268,17.1337,7.78745,44.4491,-0.0106382,0.0313126,0.643,0.64385,94602,-0.12324,283.328,34.6203,14.7299,6.6962,38.2148
24,1.16917,239242,0,-168.337,10.5077,168.665,0.11423,42.4872,12.4769,8.67725,45.1235,-0.00890474,0.0401364,0.643,0.644313,95348.2,-0.10956,284.095,36.3402,10.6713,7.42227,38.5951
25,1.17682,241420,0,-168.337,12.8247,168.825,0.115479,44.3123,8.10894,9.1568,45.9693,-0.0070528,0.0489868,0.643,0.644902,96208.8,-0.093785,284.798,37.6547,6.8903,7.78135,39.0628
26,1.1833,243322,0,-168.337,15.1012,169.013,0.117033,45.6745,3.79902,9.95479,46.9009,-0.00513866,0.0576824,0.643,0.645603,96956.9,-0.0800714,285.441,38.5998,3.2104,8.41303,39.6362
27,1.18949,245182,0,-168.337,17.2929,169.223,0.118647,46.6597,-0.566904,10.6049,47.8531,-0.00321832,0.066054,0.643,0.646392,97687.8,-0.0666742,286.094,39.2272,-0.476797,8.91566,40.2305
28,1.34722,297058,0,-168.337,-10.5819,168.669,0.397386,75.2684,-167.699,5.04981,183.885,-0.00886529,-0.0404199,0.643,0.64433,113790,0.228493,294.23,55.8586,-124.493,3.74888,136.502
29,1.28649,278892,0,-168.337,-10.3891,168.657,0.344062,91.3712,-120.822,1.667,151.49,-0.00805516,-0.0396835,0.643,0.644274,107974,0.121879,292.377,71.0597,-93.8522,1.28844,117.726
30,1.22514,255715,0,-168.337,28.0613,170.66,0.0714108,2.81883,-27.512,11.3393,29.8904,0.0116733,0.107186,0.643,0.651977,102140,0.0149392,290.428,2.30102,-22.454,9.25332,24.3947
31,1.25202,260743,0,-168.337,28.9846,170.814,0.0572146,2.40231,-22.0712,10.0695,24.3784,0.0117186,0.110713,0.643,0.652567,104201,0.0527268,289.93,1.91887,-17.6237,8.04502,19.4679
32,1.23453,256849,0,-168.337,26.9825,170.486,0.0552042,3.60636,-20.2641,10.8046,23.2461,0.0116066,0.103065,0.643,0.651311,102652,0.0243224,289.664,2.92132,-16.4134,8.75205,18.829
33,1.19496,245428,0,-168.337,9.86298,168.626,0.0464601,16.3579,4.74448,8.00698,18.8202,0.0086179,0.0376738,0.643,0.64416,98112,-0.0588971,286.022,13.6892,3.97064,6.70072,15.7499
34,1.19891,246544,0,-168.337,12.2239,168.78,0.0407869,13.9129,2.21919,8.75436,16.5872,0.00927729,0.0466918,0.643,0.64476,98571.8,-0.0504686,286.415,11.6048,1.8512,7.30197,13.8353
35,1.18186,242105,0,-168.337,-2.50445,168.356,0.105457,41.0095,8.65247,4.38413,42.1411,0.00263297,-0.00956629,0.643,0.643077,96541.1,-0.087693,284.56,34.6999,7.32197,3.70952,35.6575
36,1.18339,242228,0,-168.337,-0.829196,168.339,0.0936407,35.7809,10.0419,4.7718,37.4684,0.00381389,-0.0031673,0.643,0.643019,96654,-0.0856249,284.525,30.2365,8.48621,4.03247,31.6626
37,1.19535,248293,0,-168.337,-8.14217,168.534,0.182433,71.7444,-18.0497,2.44808,74.0205,-0.00325347,-0.0311008,0.643,0.64376,98400,-0.0536174,286.766,60.0239,-15.1026,2.04563,61.9285
38,1.19138,246118,0,-168.337,-7.34626,168.497,0.163953,65.5831,-8.43406,2.75075,66.1804,-0.00213698,-0.0280606,0.643,0.643616,97711.4,-0.0662404,285.71,55.0467,-7.07713,2.30945,55.5478
39,1.19138,244404,0,-168.337,7.51732,168.505,0.0535777,19.2016,6.47508,7.54539,21.6231,0.0078519,0.028714,0.643,0.643689,97683.2,-0.0667578,285.626,16.1174,5.43544,6.3335,18.1502
