"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,         142,       -4.34452026,      -1.403139035,      -1.453226817,      -1.460243232,        1.13564717
          0,           0,         143,      -4.346491579,      -1.406718154,      -1.457229311,      -1.464968688,       1.133911622
          0,           0,         144,      -4.348515744,       -1.41085515,      -1.460763263,      -1.469163678,       1.132065078
          0,           0,         145,      -4.350524288,      -1.415483701,      -1.463722976,      -1.472734619,       1.130174386
          0,           0,         146,       -4.35248572,      -1.420511499,      -1.466046321,      -1.475627976,       1.128271916
          0,           0,         147,      -4.354404682,      -1.425824655,      -1.467720256,      -1.477835658,       1.126356468
          0,           0,         148,      -4.356311209,      -1.431300194,       -1.46878544,      -1.479393211,       1.124402843
          0,           0,         149,      -4.358251361,      -1.436820316,      -1.469331579,      -1.480375408,       1.122371363
          0,           0,         150,      -4.360283071,        -1.4422893,      -1.469491447,      -1.480889571,       1.120211028
          0,           0,         151,      -4.362469353,       -1.44764421,      -1.469429791,      -1.481070561,       1.117865992
          0,           0,         152,      -4.364884215,      -1.452865233,      -1.469333938,      -1.481070406,       1.115270497
          0,           0,         153,       -4.36761806,      -1.457979381,      -1.469401126,       -1.48104509,       1.112342011
          0,           0,         154,      -4.370783564,      -1.463062297,      -1.469822199,      -1.481157656,       1.108975826
          0,           0,         155,      -4.374505426,      -1.468237941,      -1.470770422,      -1.481559214,        1.10505397
          0,           0,         156,      -4.378921397,      -1.473669857,      -1.472394109,      -1.482382998,       1.100444237
          0,           0,         157,      -4.384174202,      -1.479556681,      -1.474809125,      -1.483742484,       1.095006914
          0,           0,         158,      -4.390400506,      -1.486120234,      -1.478097186,      -1.485729086,       1.088605227
          0,           0,         159,      -4.397723675,      -1.493597101,       -1.48230323,      -1.488407484,       1.081112821
          0,           0,         160,      -4.406258727,      -1.502226429,      -1.487439944,      -1.491822206,       1.072408686
