"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,    "rms[A_E]"    
          0,           0,         285,      -9.472139297,      -9.294636717,      -9.848123723,      -10.07412951
          0,           0,         286,      -9.477645846,      -9.309070332,      -9.864148214,      -10.09194043
          0,           0,         287,      -9.484561441,      -9.319131364,      -9.876732704,      -10.10253452
          0,           0,         288,      -9.493874149,      -9.326006816,      -9.887202002,       -10.1069432
          0,           0,         289,      -9.506233905,      -9.331280903,      -9.896245361,      -10.10762545
          0,           0,         290,       -9.52193471,      -9.336446748,      -9.904756433,      -10.10711812
          0,           0,         291,      -9.541035512,      -9.342725366,        -9.9138904,      -10.10743235
          0,           0,         292,      -9.563435026,       -9.35107299,      -9.924546933,      -10.11009417
          0,           0,         293,      -9.588857854,      -9.362188243,      -9.937263285,      -10.11621532
          0,           0,         294,      -9.616807095,      -9.376516869,      -9.952414412,      -10.12653917
          0,           0,         295,       -9.64653751,      -9.394285635,      -9.970349626,      -10.14154905
          0,           0,         296,      -9.677080128,      -9.415557472,      -9.991455561,      -10.16170885
          0,           0,         297,      -9.707348044,      -9.440288149,      -10.01670461,      -10.18848728
          0,           0,         298,      -9.732168412,      -9.465223831,      -10.04706581,      -10.22768828
          0,           0,         299,      -9.755041834,        -9.4931072,      -10.05761004,      -10.24152287
          0,           0,         300,      -9.773202998,      -9.521700473,      -10.08747533,      -10.27524976
          0,           0,         301,      -9.788942988,      -9.551308338,      -10.11318524,       -10.3093346
          0,           0,         302,      -9.799670961,      -9.580110532,      -10.13910016,      -10.34768081
          0,           0,         303,      -9.808147328,      -9.606348011,      -10.16384386,      -10.38255838
          0,           0,         304,      -9.814558006,      -9.628369027,      -10.18564938,      -10.41094029
          0,           0,         305,      -9.820618807,       -9.64564236,      -10.20512344,      -10.43250738
          0,           0,         306,      -9.827581199,      -9.658378138,      -10.22058506,      -10.44708509
          0,           0,         307,      -9.836475167,      -9.667361839,      -10.23304631,      -10.45476297
          0,           0,         308,      -9.848173926,      -9.674017117,      -10.24384782,      -10.45730859
          0,           0,         309,      -9.863173655,      -9.679973764,      -10.25349722,      -10.45752949
          0,           0,         310,      -9.881656979,      -9.686635247,      -10.26301341,      -10.45782531
          0,           0,         311,      -9.903615094,      -9.695100907,       -10.2735869,      -10.45994595
          0,           0,         312,      -9.928886064,      -9.706216105,       -10.2859726,      -10.46520495
          0,           0,         313,      -9.957106316,      -9.720574249,      -10.30059585,      -10.47454875
          0,           0,         314,      -9.987646776,      -9.738517195,      -10.31784196,      -10.48861528
