"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     
          0,           0,         235,     -0.5276663083,       2.648915124,       2.740773666
          0,           0,         236,     -0.5276663085,       2.648911975,       2.740770518
          0,           0,         237,     -0.5276663121,       2.648859166,       2.740717718
          0,           0,         238,     -0.5276663099,       2.648892765,        2.74075131
          0,           0,         239,     -0.5276663133,       2.648841532,       2.740700087
          0,           0,         240,     -0.5276663071,       2.648926792,       2.740785331
          0,           0,         241,     -0.5276663114,       2.648865339,        2.74072389
          0,           0,         242,     -0.5276663142,       2.648827055,       2.740685613
          0,           0,         243,     -0.5276663114,       2.648869474,       2.740728024
          0,           0,         244,     -0.5276663111,        2.64887378,       2.740732329
          0,           0,         245,     -0.5276663098,       2.648890319,       2.740748865
          0,           0,         246,     -0.5276663114,       2.648866518,       2.740725068
          0,           0,         247,     -0.5276663064,       2.648941667,       2.740800203
          0,           0,         248,     -0.5276663098,       2.648892503,       2.740751048
          0,           0,         249,     -0.5276663105,       2.648885071,       2.740743618
          0,           0,         250,     -0.5276663073,       2.648929633,       2.740788171
          0,           0,         251,     -0.5276663103,       2.648882143,       2.740740691
          0,           0,         252,      -0.527666311,       2.648875467,       2.740734015
          0,           0,         253,     -0.5276663081,       2.648919046,       2.740777586
          0,           0,         254,     -0.5276663093,       2.648905048,       2.740763591
          0,           0,         255,     -0.5276663066,       2.648947961,       2.740806496
          0,           0,         256,      -0.527666302,       2.649015659,       2.740874181
          0,           0,         257,     -0.5276663052,       2.648975861,        2.74083439
          0,           0,         258,     -0.5276663074,       2.648943738,       2.740802274
          0,           0,         259,     -0.5276663021,       2.649011453,       2.740869975
          0,           0,         260,     -0.5276663137,       2.648847691,       2.740706245
          0,           0,         261,     -0.5276663081,       2.648922157,       2.740780697
          0,           0,         262,     -0.5276663025,       2.649001263,       2.740859788
          0,           0,         263,     -0.5276663064,        2.64894449,       2.740803026
          0,           0,         264,     -0.5276663082,       2.648918215,       2.740776755
          0,           0,         265,     -0.5276663076,       2.648930724,       2.740789263
          0,           0,         266,     -0.5276663068,       2.648944612,       2.740803148
          0,           0,         267,      -0.527666309,       2.648914214,       2.740772756
          0,           0,         268,      -0.527666306,       2.648957983,       2.740816516
          0,           0,         269,     -0.5276663055,       2.648966493,       2.740825025
          0,           0,         270,     -0.5276663076,        2.64893576,       2.740794298
          0,           0,         271,     -0.5276663059,       2.648962941,       2.740821474
          0,           0,         272,     -0.5276663035,       2.648995018,       2.740853545
          0,           0,         273,     -0.5276663034,       2.648998212,       2.740856738
          0,           0,         274,     -0.5276663044,       2.648982904,       2.740841432
          0,           0,         275,     -0.5276663071,        2.64893496,       2.740793498
          0,           0,         276,     -0.5276663047,       2.648968501,       2.740827032
          0,           0,         277,     -0.5276663067,       2.648941744,        2.74080028
          0,           0,         278,     -0.5276663074,       2.648924801,        2.74078334
          0,           0,         279,     -0.5276663101,       2.648889817,       2.740748363
          0,           0,         280,       -0.52766631,       2.648892945,        2.74075149
          0,           0,         281,     -0.5276663091,       2.648905403,       2.740763945
          0,           0,         282,     -0.5276663069,       2.648933227,       2.740791765
          0,           0,         283,     -0.5276663073,       2.648930222,        2.74078876
          0,           0,         284,     -0.5276663116,       2.648865794,       2.740724344
          0,           0,         285,     -0.5276663087,       2.648904283,       2.740762826
          0,           0,         286,     -0.5276663129,       2.648845994,       2.740704548
          0,           0,         287,     -0.5276663094,       2.648894749,       2.740753293
          0,           0,         288,     -0.5276663115,       2.648874986,       2.740733534
          0,           0,         289,     -0.5276663092,       2.648906295,       2.740764838
          0,           0,         290,     -0.5276663073,       2.648932209,       2.740790747
          0,           0,         291,     -0.5276663102,       2.648886284,       2.740744831
          0,           0,         292,     -0.5276663119,       2.648858273,       2.740716824
          0,           0,         293,     -0.5276663105,       2.648883884,       2.740742431
          0,           0,         294,     -0.5276663119,       2.648867517,       2.740726068
          0,           0,         295,     -0.5276663076,        2.64893119,       2.740789728
          0,           0,         296,     -0.5276663084,        2.64891807,       2.740776611
          0,           0,         297,     -0.5276663102,       2.648893882,       2.740752428
          0,           0,         298,     -0.5276663093,       2.648905509,       2.740764052
          0,           0,         299,     -0.5276663068,        2.64894258,       2.740801116
          0,           0,         300,     -0.5276663118,       2.648872492,       2.740731041
          0,           0,         301,     -0.5276663084,        2.64892105,        2.74077959
          0,           0,         302,     -0.5276663063,       2.648948577,       2.740807112
          0,           0,         303,      -0.527666305,       2.648971472,       2.740830003
          0,           0,         304,      -0.527666305,       2.648976512,       2.740835041
          0,           0,         305,      -0.527666302,       2.649021524,       2.740880045
          0,           0,         306,     -0.5276663065,       2.648951169,       2.740809703
          0,           0,         307,     -0.5276663034,       2.648991846,       2.740850372
          0,           0,         308,     -0.5276663054,       2.648965346,       2.740823878
