"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         105,      -7.549523456,       -7.08753833,      -7.481554161,      -7.445266411,      -6.966250557,      -11.71189015
          0,           0,         106,      -7.559948062,      -7.100109512,      -7.470863192,      -7.436603781,      -6.976788192,      -11.72254155
          0,           0,         107,      -7.570260765,      -7.112659101,      -7.461327342,      -7.428636862,      -6.987203283,      -11.73322643
          0,           0,         108,      -7.580466649,      -7.125185019,      -7.452894773,      -7.421402345,      -6.997501992,      -11.74393903
          0,           0,         109,        -7.5905703,      -7.137683631,      -7.445505796,      -7.414912233,      -7.007689978,      -11.75467466
          0,           0,         110,      -7.600577715,      -7.150150583,      -7.439103858,      -7.409164508,      -7.017774559,      -11.76542919
          0,           0,         111,      -7.610496853,      -7.162584707,      -7.433635327,      -7.404149232,      -7.027765358,      -11.77619892
          0,           0,         112,      -7.620336219,      -7.174986062,      -7.429046521,      -7.399848292,       -7.03767254,      -11.78698041
          0,           0,         113,      -7.630102929,      -7.187353868,      -7.425283536,      -7.396237258,      -7.047504586,      -11.79777237
          0,           0,         114,      -7.639801701,        -7.1996862,      -7.422292778,      -7.393287999,      -7.057267489,      -11.80857346
          0,           0,         115,      -7.649437512,      -7.211981389,      -7.420022141,      -7.390969954,      -7.066967613,      -11.81938194
          0,           0,         116,      -7.659016564,      -7.224238537,      -7.418422104,       -7.38925178,      -7.076612509,      -11.83019638
          0,           0,         117,      -7.668544331,      -7.236458124,      -7.417446348,       -7.38810215,      -7.086208692,      -11.84101547
          0,           0,         118,      -7.678023784,      -7.248640769,      -7.417051783,      -7.387489939,      -7.095759681,      -11.85183789
          0,           0,         119,        -7.6874633,      -7.260787128,       -7.41719817,      -7.387385118,      -7.105275349,      -11.86266221
          0,           0,         120,      -7.696870993,      -7.272898042,      -7.417847691,      -7.387757878,      -7.114764943,      -11.87348709
          0,           0,         121,       -7.70625079,      -7.284974863,      -7.418964913,      -7.388579527,      -7.124232955,      -11.88431167
          0,           0,         122,      -7.715606043,      -7.297018208,      -7.420516695,      -7.389822779,      -7.133683359,      -11.89513557
          0,           0,         123,      -7.724939614,      -7.309028486,      -7.422472137,       -7.39146156,      -7.143119492,      -11.90595874
          0,           0,         124,       -7.73425364,      -7.321006218,      -7.424802542,      -7.393470968,      -7.152543787,       -11.9167815
          0,           0,         125,      -7.743551794,      -7.332952936,      -7.427481301,      -7.395827163,      -7.161960275,      -11.92760427
          0,           0,         126,      -7.752835497,      -7.344869273,      -7.430483366,      -7.398507452,      -7.171370589,      -11.93842748
          0,           0,         127,      -7.762105977,      -7.356755653,       -7.43378515,       -7.40149027,      -7.180776133,      -11.94925151
          0,           0,         128,      -7.771363792,      -7.368612701,       -7.43736462,      -7.404755105,       -7.19017759,      -11.96007947
          0,           0,         129,      -7.780610336,      -7.380441487,      -7.441201104,      -7.408282703,      -7.199576413,      -11.97091112
          0,           0,         130,       -7.78984614,       -7.39224294,      -7.445274849,      -7.412055171,      -7.208973174,      -11.98174296
          0,           0,         131,      -7.799070625,      -7.404016931,      -7.449567545,      -7.416055134,      -7.218367178,      -11.99257832
          0,           0,         132,      -7.808285927,      -7.415765457,      -7.454064269,      -7.420267494,       -7.22776045,      -12.00341806
          0,           0,         133,      -7.817490687,      -7.427489746,       -7.45875095,      -7.424677884,      -7.237151127,      -12.01426354
          0,           0,         134,      -7.826687224,      -7.439191107,      -7.463614492,      -7.429273038,      -7.246541561,      -12.02511653
          0,           0,         135,      -7.835875071,      -7.450869026,      -7.468642778,      -7.434040691,      -7.255931145,      -12.03597812
          0,           0,         136,      -7.845054224,      -7.462524209,      -7.473824693,      -7.438969613,      -7.265319676,      -12.04685267
          0,           0,         137,      -7.854224101,      -7.474157095,      -7.479150184,      -7.444049565,      -7.274706406,      -12.05773594
          0,           0,         138,      -7.863384497,      -7.485768364,      -7.484610368,      -7.449271355,       -7.28409093,       -12.0686304
          0,           0,         139,      -7.872536114,      -7.497359115,      -7.490197392,       -7.45462677,      -7.293473774,      -12.07953761
          0,           0,         140,       -7.88167941,      -7.508930582,      -7.495904232,      -7.460108415,      -7.302855137,      -12.09045846
