"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         219,      -3.966452717,      -3.207780951,      -3.232197474,       -1.92022347,      -10.09738103
          0,           0,         220,      -3.965384491,      -3.203257169,      -3.230441945,       -1.91915656,      -10.09462349
          0,           0,         221,      -3.964181543,      -3.198827862,      -3.228265054,      -1.917939832,      -10.09183455
          0,           0,         222,       -3.96288584,       -3.19460033,      -3.225754228,      -1.916607983,      -10.08919859
          0,           0,         223,      -3.961542753,       -3.19066326,      -3.223011184,      -1.915200753,      -10.08681874
          0,           0,         224,      -3.960198552,      -3.187084911,      -3.220145146,       -1.91376062,      -10.08479569
          0,           0,         225,      -3.958898234,      -3.183912659,      -3.217266363,      -1.912330704,      -10.08316085
          0,           0,         226,      -3.957683808,       -3.18117365,      -3.214480403,      -1.910953008,      -10.08191441
          0,           0,         227,      -3.956593085,      -3.178876292,      -3.211883523,      -1.909667062,      -10.08071765
          0,           0,         228,      -3.955658965,      -3.177012405,      -3.209559201,      -1.908509004,      -10.07956227
          0,           0,         229,        -3.9549092,      -3.175559836,      -3.207575822,      -1.907511085,      -10.07857759
          0,           0,         230,      -3.954366534,      -3.174485449,      -3.205985368,      -1.906701534,      -10.07791129
          0,           0,         231,       -3.95404912,      -3.173748328,      -3.204822967,      -1.906104682,      -10.07750074
          0,           0,         232,      -3.953971111,      -3.173303121,      -3.204107127,      -1.905741272,      -10.07731642
          0,           0,         233,      -3.954143324,      -3.173103364,      -3.203840508,      -1.905628859,      -10.07737556
          0,           0,         234,       -3.95457386,      -3.173104654,      -3.204011124,      -1.905782186,      -10.07748008
          0,           0,         235,        -3.9552686,      -3.173267503,      -3.204593872,      -1.906213473,      -10.07735565
          0,           0,         236,      -3.956231527,      -3.173559707,      -3.205552348,       -1.90693256,      -10.07719729
          0,           0,         237,      -3.957464811,      -3.173958092,      -3.206840887,      -1.907946864,      -10.07706334
          0,           0,         238,      -3.958968653,        -3.1744495,      -3.208406788,      -1.909261123,      -10.07691322
          0,           0,         239,      -3.960740885,      -3.175030981,      -3.210192694,      -1.910876944,      -10.07683298
          0,           0,         240,      -3.962776377,      -3.175709175,      -3.212139041,      -1.912792184,      -10.07679436
          0,           0,         241,      -3.965066285,      -3.176498952,      -3.214186535,      -1.915000204,       -10.0769065
          0,           0,         242,      -3.967597206,      -3.177421452,      -3.216278519,       -1.91748905,      -10.07668682
          0,           0,         243,      -3.970350339,      -3.178501677,      -3.218363161,      -1.920240645,      -10.07626216
          0,           0,         244,      -3.973300725,      -3.179765822,      -3.220395319,      -1.923230069,      -10.07584873
          0,           0,         245,      -3.976416668,      -3.181238538,      -3.222338004,      -1.926425005,      -10.07538158
          0,           0,         246,      -3.979659422,      -3.182940302,      -3.224163336,      -1.929785457,      -10.07497829
          0,           0,         247,      -3.982983219,      -3.184885026,      -3.225852957,      -1.933263787,      -10.07460901
          0,           0,         248,      -3.986335732,      -3.187078048,      -3.227397893,      -1.936805174,      -10.07449273
          0,           0,         249,      -3.989658988,      -3.189514578,      -3.228797912,      -1.940348543,       -10.0742982
          0,           0,         250,       -3.99289078,      -3.192178701,      -3.230060426,      -1.943827971,      -10.07392251
          0,           0,         251,      -3.995966527,      -3.195042985,      -3.231199086,      -1.947174592,      -10.07345929
          0,           0,         252,      -3.998821552,      -3.198068756,      -3.232232156,      -1.950318919,      -10.07302019
          0,           0,         253,      -4.001393625,      -3.201207061,      -3.233180809,        -1.9531935,      -10.07240895
          0,           0,         254,      -4.003625645,      -3.204400349,      -3.234067451,      -1.955735742,      -10.07174594
          0,           0,         255,      -4.005468252,      -3.207584848,       -3.23491415,      -1.957890709,      -10.07110016
          0,           0,         256,      -4.006882176,      -3.210693558,      -3.235741253,      -1.959613691,      -10.07048193
          0,           0,         257,      -4.007840124,      -3.213659729,      -3.236566229,      -1.960872329,      -10.06965194
          0,           0,         258,      -4.008328063,      -3.216420617,      -3.237402751,      -1.961648114,      -10.06866014
          0,           0,         259,      -4.008345798,      -3.218921237,      -3.238260036,      -1.961937165,      -10.06748218
          0,           0,         260,      -4.007906839,      -3.221117798,      -3.239142418,      -1.961750225,      -10.06608309
          0,           0,         261,      -4.007037603,      -3.222980506,      -3.240049166,      -1.961111934,       -10.0644814
          0,           0,         262,       -4.00577609,      -3.224495426,      -3.240974513,      -1.960059493,      -10.06278998
          0,           0,         263,      -4.004170163,      -3.225665249,      -3.241907905,      -1.958640872,      -10.06103754
          0,           0,         264,      -4.002275629,      -3.226508848,      -3.242834444,       -1.95691276,      -10.05937777
          0,           0,         265,      -4.000154266,      -3.227059724,      -3.243735533,       -1.95493843,      -10.05750012
          0,           0,         266,      -3.997871929,       -3.22736352,      -3.244589717,       -1.95278566,      -10.05553112
          0,           0,         267,      -3.995496817,      -3.227474883,      -3.245373687,      -1.950524819,      -10.05351962
          0,           0,         268,      -3.993097955,      -3.227454014,      -3.246063463,      -1.948227192,      -10.05147003
