"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
57, 3.712300062180000e-01, -6.295531637626822e-02, 3.789514340784459e-01, -4.707378780120528e-01, -6.173519027968887e-03, 9.637540596489980e-02, 0.000000000000000e+00, 0.000000000000000e+00, 6.650210432184976e-02
58, 3.560400009160000e-01, -6.321390618957427e-02, 3.852594491958244e-01, -4.770689117867229e-01, -7.952912807530222e-04, 9.795570385337707e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.404248983829423e-01
59, 3.409900069240000e-01, -6.341126613150078e-02, 3.941455845241897e-01, -4.857538217909527e-01, 4.717679751660629e-03, 1.002584543692805e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.282657965644255e-01
60, 3.261100053790000e-01, -6.354603717638969e-02, 4.038140382567444e-01, -4.949915960696491e-01, 1.091993055109317e-02, 1.027798501054412e-01, 0.000000000000000e+00, 0.000000000000000e+00, 4.934326446403057e-02
61, 3.113999962810000e-01, -6.361690444639112e-02, 4.125514356185367e-01, -5.032248401734963e-01, 1.771328723842904e-02, 1.050028977399819e-01, 0.000000000000000e+00, 0.000000000000000e+00, -5.610553353479025e-03
62, 2.968699932100000e-01, -6.362203028661681e-02, 4.204081591416685e-01, -5.105760626978103e-01, 2.471054957082794e-02, 1.069671769593043e-01, 0.000000000000000e+00, 0.000000000000000e+00, -2.004596867763728e-02
63, 2.825500071050000e-01, -6.355934451415422e-02, 4.287580236183486e-01, -5.184014311335085e-01, 3.197060445194715e-02, 1.090749056937008e-01, 0.000000000000000e+00, 0.000000000000000e+00, -1.833423794149920e-02
64, 2.684499919410000e-01, -6.342658851577296e-02, 4.388718139865496e-01, -5.278963194747295e-01, 3.981886628999204e-02, 1.116646849835523e-01, 0.000000000000000e+00, 0.000000000000000e+00, -1.849001782869553e-02
65, 2.545700073240000e-01, -6.322101920488989e-02, 4.514800949757932e-01, -5.397356863284672e-01, 4.848010777861699e-02, 1.149037864297487e-01, 0.000000000000000e+00, 0.000000000000000e+00, -2.383057875136146e-02
66, 2.409400045870000e-01, -6.294007404494843e-02, 4.670767168586340e-01, -5.543556566017139e-01, 5.805319916043022e-02, 1.188902656100774e-01, 0.000000000000000e+00, 0.000000000000000e+00, -3.137865627994835e-02
67, 2.275699973110000e-01, -6.258081527540682e-02, 4.859625521828475e-01, -5.720551372871890e-01, 6.866297855451114e-02, 1.237185108640161e-01, 0.000000000000000e+00, 0.000000000000000e+00, -3.910001042928074e-02
68, 2.144699990750000e-01, -6.214009685531086e-02, 5.085987435007345e-01, -5.932259175884393e-01, 8.044179609702794e-02, 1.294799739104839e-01, 0.000000000000000e+00, 0.000000000000000e+00, -4.739249368987204e-02
