"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         115,       -6.45664339,      -4.400733802,               -32,       -4.70017866,       -4.20070012,      -9.661719942
          0,           0,         116,      -6.458634165,       -4.40207922,               -32,      -4.702785382,      -4.202403878,      -9.661238439
          0,           0,         117,      -6.460435055,      -4.403517591,               -32,      -4.705497665,      -4.204301803,      -9.660977281
          0,           0,         118,      -6.462230007,       -4.40504446,               -32,      -4.708310542,      -4.206312082,      -9.660940507
          0,           0,         119,      -6.464262913,      -4.406655555,               -32,      -4.711218622,      -4.208352694,      -9.661135173
          0,           0,         120,      -6.466568239,      -4.408347013,               -32,      -4.714216542,       -4.21036219,      -9.661551511
          0,           0,         121,      -6.468974133,      -4.410115437,               -32,      -4.717299089,      -4.212311428,      -9.662182244
          0,           0,         122,      -6.471302513,      -4.411957804,               -32,      -4.720461085,      -4.214200752,      -9.663015634
          0,           0,         123,      -6.473530848,      -4.413871321,               -32,      -4.723697333,      -4.216047987,      -9.664043913
          0,           0,         124,      -6.475778052,      -4.415853299,               -32,      -4.727002759,      -4.217877111,      -9.665253226
          0,           0,         125,      -6.478165594,      -4.417901053,               -32,      -4.730372624,      -4.219710902,      -9.666625466
          0,           0,         126,      -6.480707615,       -4.42001182,               -32,      -4.733802608,      -4.221566552,        -9.6681477
          0,           0,         127,      -6.483322967,      -4.422182682,               -32,      -4.737288694,      -4.223452536,      -9.669789385
          0,           0,         128,       -6.48592912,      -4.424410521,               -32,      -4.740826908,      -4.225365979,      -9.671446214
          0,           0,         129,      -6.488514994,       -4.42669203,               -32,      -4.744413122,      -4.227292274,      -9.673150338
          0,           0,         130,      -6.491132019,      -4.429023779,               -32,      -4.748043004,      -4.229208658,      -9.674904154
          0,           0,         131,       -6.49382813,      -4.431402302,               -32,      -4.751712078,      -4.231090676,      -9.676686175
          0,           0,         132,      -6.496596845,      -4.433824185,               -32,      -4.755415798,      -4.232918762,      -9.678472126
          0,           0,         133,      -6.499386643,      -4.436286102,               -32,       -4.75914958,      -4.234682359,      -9.680232607
          0,           0,         134,        -6.5021523,      -4.438784824,               -32,      -4.762908788,      -4.236380469,      -9.681950247
          0,           0,         135,      -6.504894749,       -4.44131721,               -32,      -4.766688755,      -4.238019679,      -9.683599923
          0,           0,         136,      -6.507654405,      -4.443880193,               -32,      -4.770484868,      -4.239611451,      -9.685152972
          0,           0,         137,      -6.510469854,       -4.44647077,               -32,      -4.774292692,      -4.241169703,      -9.686582237
          0,           0,         138,      -6.513344233,      -4.449085968,               -32,      -4.778108053,      -4.242708748,      -9.687857338
          0,           0,         139,      -6.516249468,      -4.451722816,               -32,      -4.781927033,      -4.244241311,      -9.688948064
          0,           0,         140,      -6.519159827,      -4.454378311,               -32,      -4.785745904,      -4.245776624,      -9.689827341
          0,           0,         141,      -6.522079724,      -4.457049401,               -32,      -4.789561056,      -4.247319338,      -9.690454565
          0,           0,         142,      -6.525039189,      -4.459732991,               -32,      -4.793368961,       -4.24886993,      -9.690738625
          0,           0,         143,      -6.528063312,      -4.462425971,               -32,      -4.797166194,      -4.250426582,      -9.690650735
          0,           0,         144,       -6.53114748,      -4.465125229,               -32,      -4.800949447,       -4.25198763,      -9.690211739
          0,           0,         145,      -6.534263618,      -4.467827671,               -32,       -4.80471552,      -4.253553437,      -9.689415341
          0,           0,         146,      -6.537391052,      -4.470530221,               -32,      -4.808461269,      -4.255127029,      -9.688249319
          0,           0,         147,      -6.540540518,      -4.473229826,               -32,      -4.812183586,      -4.256713767,      -9.686715083
          0,           0,         148,      -6.543746063,       -4.47592346,               -32,      -4.815879417,      -4.258320818,      -9.684792699
          0,           0,         149,       -6.54703206,      -4.478608138,               -32,      -4.819545827,      -4.259956819,      -9.682491257
          0,           0,         150,      -6.550389708,      -4.481280919,               -32,      -4.823180057,      -4.261631561,      -9.679808384
          0,           0,         151,      -6.553789515,      -4.483938893,               -32,      -4.826779504,      -4.263355188,      -9.676742709
          0,           0,         152,      -6.557218725,      -4.486579171,               -32,      -4.830341667,      -4.265136782,      -9.673287182
          0,           0,         153,      -6.560703246,      -4.489198877,               -32,      -4.833864098,      -4.266982993,      -9.669450403
          0,           0,         154,      -6.564285966,      -4.491795156,               -32,      -4.837344409,      -4.268897593,      -9.665233852
          0,           0,         155,      -6.567980531,      -4.494365191,               -32,      -4.840780327,      -4.270882136,      -9.660641765
          0,           0,         156,      -6.571753054,       -4.49690622,               -32,      -4.844169707,      -4.272937039,      -9.655680734
          0,           0,         157,      -6.575560115,      -4.499415533,               -32,      -4.847510478,      -4.275062017,      -9.650372258
          0,           0,         158,      -6.579406776,      -4.501890474,               -32,      -4.850800556,      -4.277255605,      -9.644728307
          0,           0,         159,      -6.583353691,      -4.504328446,               -32,      -4.854037827,      -4.279514664,      -9.638755472
          0,           0,         160,      -6.587450036,      -4.506726937,               -32,      -4.857220232,      -4.281834824,      -9.632468231
          0,           0,         161,       -6.59166319,      -4.509083556,               -32,      -4.860345856,      -4.284211776,      -9.625884144
          0,           0,         162,      -6.595902951,      -4.511396031,               -32,      -4.863412911,      -4.286642118,      -9.619031105
          0,           0,         163,      -6.600136652,      -4.513662201,               -32,      -4.866419608,      -4.289122374,      -9.611930957
          0,           0,         164,      -6.604458623,      -4.515879996,               -32,      -4.869364078,      -4.291647075,      -9.604627777
          0,           0,         165,      -6.608990023,      -4.518047467,               -32,      -4.872244486,      -4.294208034,      -9.597092972
          0,           0,         166,      -6.613693377,      -4.520162824,               -32,      -4.875059205,      -4.296795842,      -9.589364051
          0,           0,         167,       -6.61835963,      -4.522224461,               -32,      -4.877806819,      -4.299402359,      -9.581465288
          0,           0,         168,      -6.622867895,      -4.524230915,               -32,      -4.880485874,      -4.302020284,      -9.573394685
          0,           0,         169,      -6.627423879,      -4.526180815,               -32,      -4.883094678,      -4.304639772,      -9.565209014
          0,           0,         170,      -6.632355068,      -4.528072903,               -32,      -4.885631514,      -4.307246352,      -9.556913866
          0,           0,         171,      -6.637571882,      -4.529906132,               -32,      -4.888095044,      -4.309823086,      -9.548491105
          0,           0,         172,      -6.642472565,      -4.531679719,               -32,      -4.890484334,      -4.312358198,      -9.539992431
          0,           0,         173,      -6.646725745,      -4.533393043,               -32,      -4.892798217,      -4.314845423,      -9.531437009
          0,           0,         174,      -6.651058098,      -4.535045493,               -32,      -4.895034852,      -4.317275838,      -9.522790208
          0,           0,         175,      -6.656511292,      -4.536636474,               -32,      -4.897192358,       -4.31963074,      -9.514067605
          0,           0,         176,      -6.662542713,      -4.538165731,               -32,      -4.899269889,      -4.321881512,      -9.505297491
          0,           0,         177,      -6.666968891,      -4.539633439,               -32,       -4.90126757,      -4.324023047,      -9.496483612
          0,           0,         178,      -6.669132901,      -4.541039876,               -32,      -4.903184303,      -4.326063251,      -9.487640158
          0,           0,         179,      -6.672623043,      -4.542384907,               -32,      -4.905017067,      -4.328010105,      -9.478809992
          0,           0,         180,      -6.680799081,      -4.543667998,               -32,      -4.906762935,      -4.329828309,       -9.47000697
          0,           0,         181,      -6.689338251,      -4.544889905,               -32,      -4.908423145,      -4.331422657,      -9.461205378
          0,           0,         182,       -6.68917163,      -4.546051721,               -32,       -4.91000091,      -4.332888625,      -9.452431876
          0,           0,         183,       -6.68189209,      -4.547154976,               -32,      -4.911493092,      -4.334173997,      -9.443680028
          0,           0,         184,      -6.688439726,       -4.54819717,               -32,       -4.91289209,      -4.335572646,      -9.434983334
          0,           0,         185,      -6.712060588,      -4.549176049,               -32,      -4.914187628,       -4.33651149,      -9.426342375
          0,           0,         186,      -6.725626172,      -4.550096555,               -32,      -4.915401449,      -4.336947308,      -9.417774596
          0,           0,         187,      -6.697329694,       -4.55095472,               -32,      -4.916531027,      -4.337608205,      -9.409275464
          0,           0,         188,      -6.664694359,      -4.551765419,               -32,      -4.917573871,      -4.336965722,      -9.400864595
          0,           0,         189,      -6.685881471,      -4.552499776,               -32,      -4.918500678,      -4.338636085,       -9.39254858
          0,           0,         190,      -6.731546215,      -4.553177415,               -32,      -4.919293223,      -4.336440241,      -9.384316217
          0,           0,         191,      -6.754311398,      -4.553810627,               -32,      -4.920078396,      -4.335410552,      -9.376090645
          0,           0,         192,      -6.705592819,      -4.554391821,               -32,      -4.920762558,      -4.335219532,      -9.367920476
          0,           0,         193,      -6.660023482,      -4.554950032,               -32,      -4.921348653,      -4.333225631,      -9.359836592
          0,           0,         194,      -6.673804338,      -4.555430838,               -32,      -4.921830344,      -4.335515716,      -9.351854236
          0,           0,         195,       -6.72497624,      -4.555855795,               -32,      -4.922145468,      -4.333175655,      -9.343971312
          0,           0,         196,      -6.758204893,      -4.556236485,               -32,      -4.922489183,      -4.331796691,      -9.336197232
          0,           0,         197,      -6.713175003,      -4.556559974,               -32,       -4.92272166,      -4.331829652,         -9.328537
          0,           0,         198,      -6.661274713,      -4.556863151,               -32,      -4.922820946,      -4.329063318,      -9.320968688
          0,           0,         199,      -6.671787629,      -4.557081352,               -32,      -4.922845835,      -4.331108622,      -9.313479452
          0,           0,         200,      -6.723911054,      -4.557238519,               -32,       -4.92269086,      -4.328360322,      -9.306081705
          0,           0,         201,      -6.762354344,      -4.557350775,               -32,       -4.92257194,      -4.326231211,      -9.298778607
          0,           0,         202,      -6.719405832,      -4.557399753,               -32,      -4.922355973,      -4.326040594,      -9.291601464
          0,           0,         203,      -6.662477773,        -4.5574329,               -32,      -4.921979516,      -4.322522927,      -9.284530901
          0,           0,         204,      -6.669534023,      -4.557376337,               -32,      -4.921553541,      -4.324222873,      -9.277522074
          0,           0,         205,      -6.721483245,       -4.55725551,               -32,      -4.920949104,      -4.321249454,      -9.270562261
          0,           0,         206,      -6.763893897,      -4.557092031,               -32,      -4.920380927,      -4.318582077,      -9.263713673
